station_id,date,pollutant,value
7,2023-02-09,O3,57.0
7,2023-02-09,PM10,32.0
8,2023-02-09,C6H6,
8,2023-02-09,CO_8h,
8,2023-02-09,NO2,
1,2023-02-08,NO2,
2,2023-02-08,C6H6,1.3
2,2023-02-08,NO2,63.0
2,2023-02-08,O3,52.0
2,2023-02-08,PM10,25.0
2,2023-02-08,PM25,17.0
2,2023-02-08,SO2,2.5
3,2023-02-08,CO_8h,0.6
3,2023-02-08,NO2,73.0
4,2023-02-08,C6H6,
4,2023-02-08,CO_8h,
4,2023-02-08,NO2,
4,2023-02-08,PM10,
4,2023-02-08,PM25,
5,2023-02-08,NO2,
5,2023-02-08,O3,
6,2023-02-08,C6H6,1.2
6,2023-02-08,CO_8h,0.8
6,2023-02-08,NO2,73.0
6,2023-02-08,PM10,31.0
6,2023-02-08,PM25,20.0
7,2023-02-08,NO2,69.0
7,2023-02-08,O3,54.0
7,2023-02-08,PM10,22.0
8,2023-02-08,C6H6,
8,2023-02-08,CO_8h,
8,2023-02-08,NO2,
1,2023-02-07,NO2,
2,2023-02-07,C6H6,1.0
2,2023-02-07,NO2,31.0
2,2023-02-07,O3,55.0
2,2023-02-07,PM10,18.0
2,2023-02-07,PM25,9.0
2,2023-02-07,SO2,2.5
3,2023-02-07,CO_8h,0.6
3,2023-02-07,NO2,65.0
4,2023-02-07,C6H6,1.6
4,2023-02-07,CO_8h,
4,2023-02-07,NO2,
4,2023-02-07,PM10,21.0
4,2023-02-07,PM25,13.0
5,2023-02-07,NO2,
5,2023-02-07,O3,
6,2023-02-07,C6H6,1.1
6,2023-02-07,CO_8h,0.7
6,2023-02-07,NO2,46.0
6,2023-02-07,PM10,26.0
6,2023-02-07,PM25,19.0
7,2023-02-07,NO2,50.0
7,2023-02-07,O3,57.0
7,2023-02-07,PM10,17.0
8,2023-02-07,C6H6,
8,2023-02-07,CO_8h,
8,2023-02-07,NO2,
1,2023-02-06,NO2,
2,2023-02-06,C6H6,0.5
2,2023-02-06,NO2,16.0
2,2023-02-06,O3,64.0
2,2023-02-06,PM10,14.0
2,2023-02-06,PM25,6.0
2,2023-02-06,SO2,2.5
3,2023-02-06,CO_8h,
3,2023-02-06,NO2,
4,2023-02-06,C6H6,1.3
4,2023-02-06,CO_8h,1.4
4,2023-02-06,NO2,
4,2023-02-06,PM10,22.0
4,2023-02-06,PM25,13.0
5,2023-02-06,NO2,
5,2023-02-06,O3,
6,2023-02-06,C6H6,0.5
6,2023-02-06,CO_8h,0.8
6,2023-02-06,NO2,33.0
6,2023-02-06,PM10,22.0
6,2023-02-06,PM25,7.0
7,2023-02-06,NO2,32.0
7,2023-02-06,O3,67.0
7,2023-02-06,PM10,14.0
8,2023-02-06,C6H6,
8,2023-02-06,CO_8h,
8,2023-02-06,NO2,
1,2023-02-03,NO2,
2,2023-02-03,C6H6,1.6
2,2023-02-03,NO2,77.0
2,2023-02-03,O3,63.0
2,2023-02-03,PM10,27.0
2,2023-02-03,PM25,15.0
2,2023-02-03,SO2,5.0
